% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
31 +6.173775873e+02 +6.173775873e+02 +6.088075873e+02 +6.088075873e+02 +4.6391e+00 -1.2346e+00 +1.9720e+00 +5.4955e-01 +4.3724e+00 +7.5124e-02 +3.4207e+00 +1.3918e+00 -1.2328e-01 +2.8786e+00 +1.2901e+00 -1.6318e+00 +1.3863e-01 +2.5569e+00 +1.8755e-01 +4.9691e-01 -1.8558e+00 -4.2911e+00 -2.4978e+00 +1.0419e+00
103 +3.805771067e+02 +3.805771067e+02 +3.720071067e+02 +3.720071067e+02 +7.0214e-01 -6.8380e-01 +1.1021e+00 -3.9129e-01 +2.2149e+00 -7.1524e-02 +5.5573e-01 +7.1652e-01 -3.1579e+00 +1.9602e-02 -1.2960e+00 +8.8259e-01 +4.0526e-01 +2.1546e+00 -3.4222e+00 -3.6710e+00 -6.5567e-01 -1.5446e+00 -5.3670e-01 +9.6029e-01
243 +2.093262546e+02 +2.093262546e+02 +2.007562546e+02 +2.007562546e+02 +2.0101e+00 -1.0291e+00 -8.1294e-01 -2.1723e-01 +1.5339e+00 -1.7560e+00 +5.9516e-01 -6.0285e-01 -2.6193e+00 -1.6223e-02 -6.4378e-01 -6.1674e-03 -1.2070e+00 +1.7458e+00 -2.0804e+00 -1.8830e+00 +1.1828e+00 -1.6417e+00 +1.0443e+00 +2.5763e+00
446 +1.544625024e+02 +1.544625024e+02 +1.458925024e+02 +1.458925024e+02 +1.9900e+00 -1.4853e+00 -2.0083e+00 -1.3202e-01 +8.0884e-01 -1.5814e+00 -6.8177e-01 -2.2725e+00 -2.2208e+00 +7.5156e-01 -1.1923e+00 -4.0199e-01 -2.7943e-01 +1.0303e+00 -2.1227e+00 -2.0898e+00 +2.1802e+00 -1.1670e+00 +2.6312e-01 +1.2571e+00
% function evaluation | noise-free fitness - Fopt (-1.402500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.837643303e+02 +9.837643303e+02 +8.435143303e+02 +8.435143303e+02 +3.3785e+00 +3.8703e+00 -2.6550e+00 -3.0619e+00 +2.5186e+00 -3.4269e+00 +3.1296e+00 -3.4721e+00 +3.3527e+00 +3.3389e+00 +2.9049e+00 -3.4890e+00 -2.1985e+00 -2.7662e-01 +2.0568e+00 +3.9292e+00 -2.5363e+00 +3.8892e+00 -2.9144e+00 +9.8875e-01
52 +6.143305957e+02 +6.143305957e+02 +4.740805957e+02 +4.740805957e+02 +1.3845e+00 +3.7017e+00 +3.2389e+00 +2.2728e-01 +9.9729e-01 +2.8110e+00 +1.2104e+00 -3.3263e+00 +1.5152e+00 +9.4216e-01 +7.8454e-01 -2.9769e+00 -1.3232e+00 +1.6709e+00 +4.4974e-01 +2.2315e+00 +5.9476e-01 +4.6025e-01 -2.9319e+00 +3.3928e+00
170 +3.279186981e+02 +3.279186981e+02 +1.876686981e+02 +1.876686981e+02 +1.5635e+00 +2.3479e+00 +1.1764e+00 +7.6553e-01 -3.3897e-03 +2.7965e+00 -5.6021e-01 -1.2125e-01 +2.1205e+00 +4.8762e+00 -1.2716e+00 -9.0943e-01 +1.1543e+00 +1.1251e+00 -6.3722e-01 +1.9867e+00 -1.2929e+00 -1.2884e+00 -1.5179e-01 -1.4616e+00
295 +2.509869281e+02 +2.509869281e+02 +1.107369281e+02 +1.107369281e+02 +5.8614e-01 +2.4814e+00 +1.1777e+00 +1.3820e+00 -9.0904e-01 +3.1636e+00 +2.0294e+00 +1.7211e+00 -6.2051e-01 +1.1018e+00 -1.0960e+00 +4.2380e-01 -9.3488e-01 -2.2964e+00 -4.8542e-01 +4.5371e-01 -1.3748e+00 -2.1125e+00 -4.6912e-01 -1.6150e+00
1040 +1.562166973e+02 +1.562166973e+02 +1.596669734e+01 +1.596669734e+01 +8.2209e-01 +1.1144e+00 +2.0384e+00 -1.0902e+00 -1.6191e+00 +1.4295e+00 +1.0714e+00 +3.2642e-01 +1.3437e-01 +1.3237e+00 -1.6383e+00 -1.0886e+00 +1.0276e+00 +5.2826e-01 -3.2756e-01 +2.0604e+00 -3.1760e-01 -2.0344e+00 -1.5751e+00 -7.4664e-01
% function evaluation | noise-free fitness - Fopt (2.817400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.465288445e+02 +6.465288445e+02 +9.282688445e+02 +9.282688445e+02 +2.1437e+00 +2.9921e-01 -6.4434e-01 +2.7873e+00 +2.0415e+00 -1.7636e+00 +2.9409e+00 -9.2960e-01 -1.3943e-01 +3.4006e+00 +2.6863e+00 -1.6375e-01 -3.4397e+00 +2.1859e+00 -1.5370e-01 -3.8625e+00 +3.5301e+00 -2.9929e+00 +2.2686e+00 +2.4401e+00
