% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
21699 +8.291920125e-06 +8.291920125e-06 +1.238300083e+02 +1.238300083e+02 +1.3971e-01 -4.3812e-01 -6.8255e-01 -1.9093e-03 +6.7690e-01 -7.1230e-02 -7.2661e-01 -1.4982e-01 -1.5910e-02 +1.1092e+00 -2.6969e-01 -1.1471e-01 +3.0216e-01 -1.6950e-02 -7.0256e-01 -5.5076e-01 +1.0174e+00 -9.7698e-02 +2.3690e-01 +7.1794e-03
21897 +5.747496516e-06 +5.747496516e-06 +1.238300057e+02 +1.238300057e+02 +1.3966e-01 -4.3806e-01 -6.8269e-01 -1.8544e-03 +6.7710e-01 -7.1212e-02 -7.2671e-01 -1.4999e-01 -1.6031e-02 +1.1094e+00 -2.6976e-01 -1.1504e-01 +3.0205e-01 -1.6861e-02 -7.0260e-01 -5.5099e-01 +1.0176e+00 -9.7571e-02 +2.3684e-01 +6.9656e-03
21985 +2.599164716e-06 +2.599164716e-06 +1.238300026e+02 +1.238300026e+02 +1.3967e-01 -4.3808e-01 -6.8267e-01 -1.8371e-03 +6.7706e-01 -7.1194e-02 -7.2665e-01 -1.4993e-01 -1.6012e-02 +1.1093e+00 -2.6978e-01 -1.1498e-01 +3.0204e-01 -1.6863e-02 -7.0259e-01 -5.5097e-01 +1.0175e+00 -9.7612e-02 +2.3686e-01 +7.0351e-03
22077 +2.009067771e-06 +2.009067771e-06 +1.238300020e+02 +1.238300020e+02 +1.3968e-01 -4.3809e-01 -6.8272e-01 -1.8367e-03 +6.7706e-01 -7.1183e-02 -7.2668e-01 -1.4996e-01 -1.5991e-02 +1.1093e+00 -2.6982e-01 -1.1500e-01 +3.0206e-01 -1.6902e-02 -7.0258e-01 -5.5100e-01 +1.0175e+00 -9.7620e-02 +2.3689e-01 +7.0273e-03
22156 +1.370800746e-06 +1.370800746e-06 +1.238300014e+02 +1.238300014e+02 +1.3965e-01 -4.3807e-01 -6.8275e-01 -1.8029e-03 +6.7712e-01 -7.1144e-02 -7.2668e-01 -1.4997e-01 -1.6065e-02 +1.1094e+00 -2.6984e-01 -1.1510e-01 +3.0201e-01 -1.6864e-02 -7.0258e-01 -5.5107e-01 +1.0176e+00 -9.7555e-02 +2.3689e-01 +6.9641e-03
22182 +9.381175374e-07 +9.381175374e-07 +1.238300009e+02 +1.238300009e+02 +1.3967e-01 -4.3806e-01 -6.8275e-01 -1.7940e-03 +6.7715e-01 -7.1147e-02 -7.2670e-01 -1.4999e-01 -1.6065e-02 +1.1094e+00 -2.6987e-01 -1.1515e-01 +3.0199e-01 -1.6878e-02 -7.0258e-01 -5.5110e-01 +1.0176e+00 -9.7548e-02 +2.3687e-01 +6.9222e-03
22302 +4.853945654e-07 +4.853945654e-07 +1.238300005e+02 +1.238300005e+02 +1.3961e-01 -4.3795e-01 -6.8281e-01 -1.7265e-03 +6.7734e-01 -7.1067e-02 -7.2670e-01 -1.5012e-01 -1.6257e-02 +1.1096e+00 -2.7002e-01 -1.1545e-01 +3.0174e-01 -1.6789e-02 -7.0254e-01 -5.5140e-01 +1.0176e+00 -9.7451e-02 +2.3688e-01 +6.7107e-03
22361 +3.336527641e-07 +3.336527641e-07 +1.238300003e+02 +1.238300003e+02 +1.3963e-01 -4.3799e-01 -6.8278e-01 -1.7623e-03 +6.7726e-01 -7.1093e-02 -7.2670e-01 -1.5005e-01 -1.6179e-02 +1.1095e+00 -2.6995e-01 -1.1531e-01 +3.0185e-01 -1.6829e-02 -7.0257e-01 -5.5126e-01 +1.0176e+00 -9.7495e-02 +2.3687e-01 +6.7981e-03
22460 +2.377446862e-07 +2.377446862e-07 +1.238300002e+02 +1.238300002e+02 +1.3961e-01 -4.3799e-01 -6.8278e-01 -1.7706e-03 +6.7725e-01 -7.1097e-02 -7.2669e-01 -1.5005e-01 -1.6181e-02 +1.1095e+00 -2.6996e-01 -1.1530e-01 +3.0184e-01 -1.6818e-02 -7.0256e-01 -5.5125e-01 +1.0176e+00 -9.7483e-02 +2.3689e-01 +6.8124e-03
22529 +1.486546495e-07 +1.486546495e-07 +1.238300001e+02 +1.238300001e+02 +1.3961e-01 -4.3798e-01 -6.8280e-01 -1.7673e-03 +6.7728e-01 -7.1086e-02 -7.2670e-01 -1.5007e-01 -1.6195e-02 +1.1095e+00 -2.6996e-01 -1.1535e-01 +3.0183e-01 -1.6800e-02 -7.0256e-01 -5.5129e-01 +1.0176e+00 -9.7479e-02 +2.3688e-01 +6.7817e-03
