% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
209 +1.269488903e+05 +1.269488903e+05 +1.270808103e+05 +1.270808103e+05 -4.8788e+00 +2.0858e+00 -4.2105e+00 +5.7442e-01 -2.4312e+00 -5.0000e+00 -9.8345e-01 +3.7329e+00 +3.0156e+00 +2.2338e+00 +9.5599e-01 -7.8455e-01 -4.7744e+00 +4.9952e+00 -4.9540e+00 -2.8463e+00 +2.1647e+00 +5.9890e-01 +2.1602e+00 +1.7801e+00
257 +9.485145618e+04 +9.485145618e+04 +9.498337618e+04 +9.498337618e+04 -4.6034e+00 +5.0000e+00 -4.8893e+00 +3.4879e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 +2.4627e+00 +1.4022e+00 +7.9063e-01 -3.3150e+00 +3.0761e+00 -3.6582e+00 +9.5533e-01 -5.0000e+00 -2.7540e-01 -7.3063e-01 -2.4732e+00 -1.5984e+00 +4.3287e+00
336 +3.078302083e+04 +3.078302083e+04 +3.091494083e+04 +3.091494083e+04 -5.0000e+00 +5.0000e+00 -4.2737e+00 +1.6196e+00 -4.1346e+00 -5.0000e+00 -5.0000e+00 +2.6709e+00 +5.5043e-01 +3.8816e+00 -1.8646e+00 +2.3498e+00 -4.7034e+00 +3.3401e+00 -5.0000e+00 -3.9213e+00 +7.8872e-01 -5.3685e-01 +7.0591e-02 -1.2016e+00
418 +2.087782164e+04 +2.087782164e+04 +2.100974164e+04 +2.100974164e+04 -4.8111e+00 +5.0000e+00 -4.5640e+00 +1.0125e+00 -4.5163e+00 -4.9937e+00 -4.7547e+00 +2.2404e+00 +1.7335e+00 +3.9430e+00 -1.8405e+00 +1.9386e+00 -4.5384e+00 +3.2609e+00 -4.8023e+00 -3.8627e+00 +2.4841e+00 -3.3658e-01 -1.3085e-01 +2.7974e-01
506 +1.091426622e+04 +1.091426622e+04 +1.104618622e+04 +1.104618622e+04 -4.8212e+00 +4.7341e+00 -4.6303e+00 +1.5405e+00 -1.8444e+00 -4.9925e+00 -4.6377e+00 +2.0441e+00 +2.1141e+00 +3.8400e+00 -1.8732e+00 +2.5045e+00 -4.2997e+00 +2.4238e+00 -4.8752e+00 -4.5188e+00 +3.6002e+00 +2.2317e-01 +2.1776e-01 -4.8344e-01
607 +9.247683582e+03 +9.247683582e+03 +9.379603582e+03 +9.379603582e+03 -4.8511e+00 +4.8256e+00 -4.6050e+00 +1.5104e+00 -1.6682e+00 -4.9925e+00 -4.5412e+00 +2.7609e+00 +3.2968e+00 +3.1974e+00 -1.9408e+00 +1.9921e+00 -3.8276e+00 +2.5679e+00 -4.7634e+00 -2.3437e+00 +3.6368e+00 +6.7691e-01 -1.7407e-01 +1.7373e+00
659 +3.703380779e+03 +3.703380779e+03 +3.835300779e+03 +3.835300779e+03 -4.7751e+00 +5.0000e+00 -4.7471e+00 +1.3049e+00 -2.7639e+00 -4.9903e+00 -4.5615e+00 +2.4399e+00 +3.4518e+00 +2.7843e+00 -2.5520e-01 +1.5901e+00 -3.8245e+00 +2.6957e+00 -4.7920e+00 -3.7667e+00 +4.4426e+00 +1.7257e+00 -9.0900e-01 +1.0543e+00
679 +1.289287442e+03 +1.289287442e+03 +1.421207442e+03 +1.421207442e+03 -4.8048e+00 +4.8367e+00 -4.4253e+00 +9.4741e-01 -3.1779e+00 -4.9932e+00 -4.6737e+00 +2.6120e+00 +2.5460e+00 +3.3512e+00 -1.7730e+00 +7.8858e-01 -4.1573e+00 +2.8053e+00 -4.8248e+00 -4.8025e+00 +3.1432e+00 +6.6790e-01 -3.3369e-01 +4.2522e-01
829 +5.602636423e+02 +5.602636423e+02 +6.921836423e+02 +6.921836423e+02 -4.8015e+00 +4.7992e+00 -4.3948e+00 +1.2950e+00 -3.2454e+00 -4.9947e+00 -4.6015e+00 +2.8339e+00 +2.9352e+00 +3.1921e+00 -1.6835e+00 +7.9300e-01 -4.1099e+00 +2.7769e+00 -4.8308e+00 -4.7106e+00 +3.4606e+00 +7.1899e-01 -1.0628e+00 +3.6268e-01
853 +2.399053837e+02 +2.399053837e+02 +3.718253837e+02 +3.718253837e+02 -4.8492e+00 +4.7520e+00 -4.3832e+00 +1.4434e+00 -2.8836e+00 -4.9936e+00 -4.6432e+00 +3.1570e+00 +2.7336e+00 +2.6651e+00 -1.5101e+00 +9.2654e-01 -3.7445e+00 +2.4979e+00 -4.8269e+00 -4.3121e+00 +3.6325e+00 +5.9706e-01 -1.0786e+00 +2.3419e-01
4254 +1.571447803e+02 +1.571447803e+02 +2.890647803e+02 +2.890647803e+02 -4.9534e+00 +3.9814e+00 -4.6448e+00 +2.3124e-01 -2.6776e+00 -4.9563e+00 -4.6368e+00 +3.6171e+00 +1.6403e+00 +7.9629e-01 -1.0515e+00 +2.6148e+00 -3.5713e+00 +2.4367e+00 -3.8404e+00 -6.2464e-01 +3.5572e+00 +3.9307e-01 -1.2663e+00 +3.3889e+00
% function evaluation | noise-free fitness - Fopt (5.908400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.435591056e+05 +5.435591056e+05 +5.441499456e+05 +5.441499456e+05 -3.7638e-01 -8.8772e-01 -5.1962e-01 -3.2699e+00 +1.8048e+00 -1.2808e+00 -2.0806e+00 +4.6927e+00 -1.2092e+00 +4.7969e+00 -2.1361e-01 +1.6134e+00 -2.5762e+00 -3.7662e+00 +7.4970e-01 +1.7324e+00 +6.5477e-01 -7.1203e-01 -2.1402e+00 -1.4637e+00
9 +2.805892123e+05 +2.805892123e+05 +2.811800523e+05 +2.811800523e+05 +2.7647e+00 +2.9652e+00 +9.4593e-01 +4.5257e+00 +4.2839e+00 -6.3867e-02 +1.9693e+00 -2.0194e+00 +3.3626e+00 +2.4398e+00 -3.5746e+00 -1.7099e+00 -3.3506e+00 +9.0554e-01 -4.4783e+00 +1.5208e-01 -9.6577e-01 +3.1455e+00 +3.5513e+00 +3.4658e+00
