% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
961 +2.409366141e+02 +2.409366141e+02 +4.494966141e+02 +4.494966141e+02 -2.7540e-01 +4.4579e+00 +3.5066e-01 +6.8468e-01 +1.0301e+00 -3.1877e+00 -2.1172e-01 +3.4278e+00 -2.3383e+00 -5.0000e+00 -1.7088e+00 -1.7398e+00 -4.1873e+00 -4.5510e-01 +9.6638e-01 -1.4537e+00 -1.2974e+00 -2.9438e+00 +2.5621e-01 -2.4144e+00
4291 +1.567600663e+02 +1.567600663e+02 +3.653200663e+02 +3.653200663e+02 +1.1179e+00 +4.6017e+00 +7.3296e-01 +3.0991e-01 +1.9858e-01 -1.7122e+00 +8.6200e-01 +3.1431e+00 -1.7690e+00 -5.0000e+00 -1.6023e+00 -1.2316e+00 -4.1658e+00 +2.3219e-02 +6.6574e-01 -2.6385e+00 -2.3345e+00 -3.2897e+00 -1.6606e+00 -9.9347e-01
9486 +9.979780909e+01 +9.979780909e+01 +3.083578091e+02 +3.083578091e+02 +1.1289e+00 +4.6143e+00 +7.8885e-01 +2.8610e-01 +1.2360e-01 -1.7453e+00 +8.9535e-01 +3.1241e+00 -1.7046e+00 -5.0000e+00 -1.5220e+00 -1.2358e+00 -4.1874e+00 +5.9217e-02 +7.2191e-01 -2.9217e+00 -2.1166e+00 -3.2655e+00 -1.3987e+00 -9.7209e-01
% function evaluation | noise-free fitness - Fopt (-1.345800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.494699987e+03 +2.494699987e+03 +2.360119987e+03 +2.360119987e+03 +3.6450e+00 -2.5887e+00 +2.5375e+00 +7.5675e-01 -2.8852e+00 +3.8396e+00 -3.4959e+00 -5.6355e-02 +2.7802e+00 -3.3674e+00 -2.6322e+00 +2.4833e+00 -3.9108e+00 +3.4028e+00 -3.8816e+00 -4.1659e+00 +2.9883e+00 +2.2532e+00 +4.5249e+00 +1.6546e+00
8 +1.522292824e+03 +1.522292824e+03 +1.387712824e+03 +1.387712824e+03 -8.5929e-02 -4.3927e+00 +4.6077e+00 -4.6581e+00 +1.4691e+00 +1.4333e+00 -1.4729e+00 -1.9644e+00 +2.3455e+00 -1.8223e+00 +1.4880e+00 -3.9517e+00 -3.3771e+00 +3.7230e+00 -4.5328e+00 -2.9724e+00 +3.7055e+00 -3.3269e+00 -4.9258e+00 -5.7829e-01
10 +9.037929202e+02 +9.037929202e+02 +7.692129202e+02 +7.692129202e+02 -2.5631e+00 +2.1467e+00 +6.0787e-01 -3.1399e-02 +7.3292e-01 +3.1348e+00 -1.6063e+00 +2.3129e+00 -4.8485e+00 -4.8914e+00 -3.1894e+00 -1.3189e+00 -8.9097e-01 -1.3705e-02 +3.5812e+00 -2.4089e-01 +3.2800e+00 +8.3657e-01 -1.1499e+00 -5.5713e-01
101 +6.143749027e+02 +6.143749027e+02 +4.797949027e+02 +4.797949027e+02 +0.0000e+00 -3.6259e-01 +1.9896e+00 +3.3346e+00 -2.0414e+00 -1.1249e+00 +4.2603e+00 -1.1472e+00 -5.0000e+00 +5.0000e+00 +2.5271e+00 +5.0000e+00 +4.3128e+00 -3.2102e+00 +0.0000e+00 -1.9997e+00 -3.0911e+00 -1.5453e-02 -5.8553e-01 +3.1688e+00
266 +3.709879973e+02 +3.709879973e+02 +2.364079973e+02 +2.364079973e+02 -2.9156e+00 +8.8766e-02 +5.0000e+00 -1.0507e+00 -5.0000e+00 +1.3027e+00 +2.3307e+00 -1.9185e+00 -3.3161e+00 +4.3972e+00 +1.6875e+00 +5.0000e+00 +4.3124e+00 +8.3640e-01 +8.8562e-01 +4.1418e-01 -3.5114e+00 -8.3383e-01 -9.2290e-01 +1.7551e+00
1704 +2.492965947e+02 +2.492965947e+02 +1.147165947e+02 +1.147165947e+02 -4.2270e+00 +3.7725e-01 +4.0278e+00 -1.3741e+00 -5.0000e+00 +2.4858e+00 +7.0844e-01 -1.9623e+00 -3.4817e+00 +3.8428e+00 +2.8712e-01 +5.0000e+00 +4.8629e+00 -1.6902e+00 +1.8186e+00 -2.2335e+00 -3.1584e+00 +2.6321e-01 +4.9652e+00 +8.9344e-01
4774 +1.562218670e+02 +1.562218670e+02 +2.164186697e+01 +2.164186697e+01 -4.2186e+00 +8.1847e-01 +3.4123e+00 -9.1979e-01 -5.0000e+00 +2.4352e+00 +1.3475e+00 -1.8130e+00 -3.7721e+00 +4.1368e+00 +4.3076e-01 +5.0000e+00 +4.9113e+00 -1.9434e+00 +1.8911e+00 -2.2595e+00 -3.1191e+00 +3.7676e-01 +4.9754e+00 +9.5588e-01
% function evaluation | noise-free fitness - Fopt (1.205900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.147917957e+03 +1.147917957e+03 +1.268507957e+03 +1.268507957e+03 +2.8813e+00 +2.6490e+00 -3.9685e+00 -2.1767e+00 +2.7138e+00 +1.4578e+00 +9.3435e-01 -1.5136e+00 +2.8634e+00 -2.1156e-01 +3.3527e+00 -3.3294e+00 -2.6659e+00 -1.0509e+00 -3.2611e+00 -1.8916e-01 -3.3006e+00 -3.2137e+00 +9.8276e-01 +3.9507e+00
4 +9.328673553e+02 +9.328673553e+02 +1.053457355e+03 +1.053457355e+03 +1.8835e-01 -2.2592e+00 +3.2647e+00 -3.3620e+00 +1.3346e+00 -2.4299e+00 +1.5094e+00 +1.9958e+00 +4.6652e-02 -1.3206e+00 +2.2495e+00 -8.8788e-01 -9.0291e-01 -3.5521e+00 +3.7424e+00 +1.5536e+00 -1.2296e+00 +3.1836e+00 +1.0052e+00 +1.0903e+00
62 +6.014433161e+02 +6.014433161e+02 +7.220333161e+02 +7.220333161e+02 +2.2805e+00 +5.0000e+00 -5.0000e+00 -2.0373e+00 +5.0000e+00 -2.7503e+00 -3.3616e+00 -5.6740e-01 -6.0908e-01 -3.0824e+00 +1.5748e+00 +1.0122e+00 +8.1093e-01 +4.8677e-03 +1.6651e+00 -3.9786e+00 +6.1498e-01 +3.8126e+00 +7.1004e-01 -1.1602e+00
